"%s Item(s)","%s件商品"
"&copy; 2008 Magento Demo Store. All Rights Reserved.","&copy; 2008 Magento Demo Store. All Rights Reserved."
"(Shift-)Click or drag to change value","Shift+左键点击或者拖拽来改变值"
"(ver. %s)","(ver. %s)"
"- Click on any of the time parts to increase it","- 点击任意时间部分增加值"
"- Hold mouse button on any of the above buttons for faster selection.","- 鼠标长按在任意按钮上来加速选择"
"- Use the %s buttons to select month","- 用 %s 按钮来选择月"
"- Use the %s, %s buttons to select year","- 用 %s, %s 按钮来选择年"
"- or Shift-click to decrease it","- 或Shift+点击来减少值"
"- or click and drag for faster selection.","- 或用点击和拖拽来加速选择"
"-- Please Select --","-- 请选择 --"
"1 column","一列"
"2 columns with left bar","两列（左面工具栏）"
"2 columns with right bar","两列（右面工具栏）"
"3 columns","三列"
"About the calendar","关于日历"
"All Empty Layout Pages","所有空布局页面"
"All One-Column Layout Pages","所有单列布页面"
"All Pages","所有页面"
"All Pages (Print Version)","所有页面 (打印版)"
"All Three-Column Layout Pages","所有三列布局页面为"
"All Two-Column Layout Pages (Left Column)","所有两列布局页面(左栏)"
"All Two-Column Layout Pages (Right Column)","所有两列布局页面(右栏)"
"Breadcrumbs","面包屑"
"Click <a href=""%s"">here</a> if nothing has happened","如果页面没有反应，请点击 <a href=""%s"">这里</a>"
"Close","关闭"
"Close Window","关闭窗口"
"DHTML Date/Time Selector","DHTML 日期/时间 选择器"
"Date selection:","日期选择:"
"Default Description","缺省说明"
"Default welcome msg!","缺省欢迎信息！"
"Display %s first","优先显示%s"
"Distributed under GNU LGPL. See %s for details.","按GNU LGPL发布。更多详情见 %s。"
"Drag to move","拖拽移动"
"Empty","空值"
"For latest version visit: %s","最新的版本参看: %s"
"Free Shipping on orders over 50$","满50$免运费"
"Go Today","今天开始"
"Help Us to Keep Magento Healthy","协助我们完善 Magento"
"Interface Language","界面语言"
"Items %s to %s of %s total","商品%s到%s/总共%s件商品"
"JavaScript seem to be disabled in your browser.","您的浏览器禁用了JavaScript脚本。"
"Left Column","左栏"
"Main Content Area","主内容区"
"Navigation Bar","导航条"
"Next","下一页"
"Next month (hold for menu)","下一月(hold for menu)"
"Next year (hold for menu)","下一年(hold for menu)"
"Page Bottom","页面底部"
"Page Footer","页脚"
"Page Header","页眉"
"Page Top","页面顶部"
"Page:","页码："
"Prev. month (hold for menu)","上一个月(hold for menu)"
"Prev. year (hold for menu)","上一年(hold for menu)"
"Previous","上一页"
"Redirecting...","正在重定向页面..."
"Report All Bugs","报告所有错误"
"Right Column","右栏"
"Select Store","选择商店"
"Select Store:","选择商店:"
"Select date","选择日期"
"Show","显示"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","这是一个演示商店，所有订单都不会被处理。"
"Time selection:","时间选择:"
"Time:","时间:"
"Welcome, %s!","欢迎您，%s！"
"Welcome!","欢迎您！"
"You must have JavaScript enabled in your browser to utilize the functionality of this website.","必须在您的浏览器里启用JavaScript脚本，才能使用这个网站上的功能。"
"Your Language","您的语言"
"Your Language:","您的语言："
"per page","每页"
