"An error occurred while clearing the external full page cache.","清除外部整页缓存时发生错误。"
"Cookie Lifetime (seconds)","Cookie存在时间（秒）"
"Enable External Cache","允许外部缓存"
"External Cache Control","外部缓存控制"
"External Full Page Cache Settings","外部整页缓存设置"
"External full page cache.","外部整页缓存。"
"Failed to load external cache control","载入外部缓存控制失败"
"Flush External Page Cache","刷新外部页面缓存"
"If empty, default value will be used.","如果为空，将使用缺省值。"
"The external full page cache has been cleaned.","外部整页缓存被清除。"
"Zend Full Page Cache","Zend整页缓存"
