"Abandoned Carts","清空购物车"
"Abandoned carts","清空购物车"
"Action","操作"
"Add to Cart","加入购物车"
"Add to Compare","加入比较"
"Add to Wishlist","加入收藏"
"Any","任意"
"Applied Coupon","使用优惠券"
"Applies to Any of the Specified Order Statuses","应用于任意指定订单状态"
"Are you sure you want to refresh lifetime statistics? There can be performance impact during this operation.","您确定要刷新生存时间统计？这次操作可能影响性能。"
"Are you sure?","您确定吗？"
"Avg. Approved Rating","平均审核评级"
"Avg. Rating","平均评级"
"Bestsellers","畅销商品"
"Bought from wishlists","从收藏购买"
"CSV","CSV"
"Carts","购物车"
"Compared Products Grid Template","以多栏模式比较产品"
"Compared Products List Template","以列表模式比较产品"
"Coupons","优惠券"
"Coupons Usage Report","优惠券使用报告"
"Created At","创建于"
"Current Month Starts","从哪月开始"
"Customer","客户"
"Customer Name","客户姓名"
"Customer Tags","客户标签"
"Customers","客户"
"Customers Report","客户报表"
"Customers Reviews","客户评论"
"Customers Tags","客户标签"
"Customers by Number of Orders","根据订单数排列的客户"
"Customers by Orders Total","根据订单总额排列的客户"
"Customers by number of orders","根据订单数排列的客户"
"Customers by orders total","根据订单总额排列的客户"
"Customers that have wishlist: %s%","有收藏的客户：%s%"
"Dashboard","控制面板"
"Day","天"
"Default Recently Compared Products Count","默认“最近比较商品”显示数量"
"Default Recently Viewed Products Count","默认“最新查看商品”显示数量"
"Description","说明"
"Detail","内容"
"Downloads","下载"
"Email","电子邮件"
"Empty Rows","空行"
"Excel XML","Excel XML"
"Filter","过滤"
"First Name","名字"
"From","从"
"Guest","访客"
"Hits","点击"
"ID","编号"
"IP Address","IP地址"
"Index model name must be defined","必须定义索引模块"
"Invalid date specified.","指定日期有误。"
"Invoiced","已出发票"
"Items in Cart","购物车中商品"
"Last Name","姓氏"
"Last Review","最后评论"
"Link","链接"
"List of Products Recently Compared and Removed from the Compare List by Visitor","近期访客在比较列表中比较过和删除过的的产品列表"
"List of Products Recently Viewed by Visitor","近期访客浏览过的产品列表"
"Low Stock","低库存"
"Low stock","低库存"
"Match Period To","匹配期间从"
"Month","月"
"Most Viewed","查看次数最多"
"Name","姓名"
"New Accounts","新帐号"
"No","否"
"No records found for this period.","该时间段内没有找到记录。"
"Number Added","增加数"
"Number Fulfilled","使用数"
"Number Of Reviews","评论数量"
"Number Purchased","购买次数"
"Number Viewed","查看次数"
"Number of Items","商品数"
"Number of New Accounts","新帐号数量"
"Number of Products to display","展示商品数量"
"Number of Reviews","评论数量"
"Number of Times Deleted","删除次数"
"Number of Total Tags","总标签数量"
"Number of Unique Tags","唯一标签数量"
"Number of Views","查看数量"
"Number of items bought from a wishlist: %s","通告收藏购买的商品数量：%s"
"Number of times wishlists have been shared (emailed): %s","收藏共享次数 (发邮件)：%s"
"Number of wishlist conversions: %s","收藏转换次数：%s"
"Number of wishlist referrals: %s","收藏推荐次数：%s"
"Number of wishlists: %s","收藏数量：%s"
"Order Status","订单状态"
"Order Taxes Report Grouped by Tax Rate","分组税率税款报表"
"Orders","订单"
"Out of stock","缺货"
"Period","时间段"
"Poducts Report","商品报表"
"Popular Tags","热门标签"
"Popularity","热门度"
"Price","价格"
"Product Name","商品名称"
"Product Reviews","商品评论"
"Product SKU","商品SKU"
"Product Tags","商品标签"
"Products","商品"
"Products Ordered","订单产品"
"Products Report","商品报表"
"Products Reviews","商品评论"
"Products Tags","商品标签"
"Products in carts","购物车中商品"
"Purchases","购物"
"Quantity Ordered","订购数量"
"Quantity of Items","商品数量"
"Recently Compared","最近比较"
"Recently Compared Products","最近比较的商品"
"Recently Viewed","最近查看"
"Recently Viewed Products","最近查看的商品"
"Recently Viewed/Compared Products","最近查看/比较的商品"
"Refresh Lifetime Statistics","刷新生存时间统计"
"Refresh Statistics","刷新统计"
"Refresh Statistics for the Last Day","刷新最后一天的统计"
"Refunds","已退款"
"Report","报表"
"Reports","报表"
"Results","结果"
"Revenue","利润"
"Review","评论"
"Reviews","评论"
"Reviews for %s","%s的评论"
"Sales","销售"
"Sales Report","销售报表"
"Search Query","搜索"
"Search Terms","搜索关键词"
"Select day of the month.","选择该月的某一天。"
"Shipping","配送"
"Shopping Cart","购物车"
"Show Actual Values","显示实际值"
"Show Report","销售报表"
"Show for Current","显示范围"
"Specified","指定的"
"Statistics","统计"
"Stock Qty","库存数量"
"Submitted In","提交"
"Submitted On","提交日期"
"Subtotal","小计"
"Tag","标签"
"Tag ""%s"" details","标签""%s""内容"
"Tag Detail","标签内容"
"Tag Name","标签名称"
"Tag Use","标签使用"
"Tags Submitted by %s","标签提交人%s"
"Tags submitted to %s","标签提交给%s"
"Tax","税"
"Title","标题"
"To","至"
"Total","总计"
"Total Invoiced vs. Paid Report","已出发票与已付款总计报表"
"Total Ordered Report","订单总计报表"
"Total Refunded Report","退款总计报表"
"Total Shipped Report","发货总计报表"
"Total Tags","标签总计"
"Total invoiced","发票总计"
"Total refunded","退款总计"
"Updated At","更新于"
"Viewed Products Grid Template","多栏模式查看产品"
"Viewed Products List Template","列表模式查看产品"
"Visible In","可见于"
"Wishlist Report","收藏报表"
"Wishlist vs. Regular Order","收藏与订购"
"Wishlists","收藏"
"Year","年"
"Year-To-Date Starts","从今年哪一天开始"
"Yes","是"
"Your Recently Compared","您最近比较的"
"Your Recently Viewed","您最近查看的"
"undefined","未定义"
