"# of Uses","使用次数"
"%s tag(s) have been accepted for moderation.","成功将 %s 个标签提交审核。"
"<strong>Tag Name:</strong> %s","<strong>标签名字：</strong> %s"
"Action","操作"
"Add New Tag","增加新标签"
"Add Tags","添 加"
"Add Your Tags:","添加你的标签"
"Add to Cart","加入购物车"
"Add to Wishlist","加入收藏"
"All Tags","所有标签"
"Approved","已批准"
"Are you sure you want to delete this tag?","您确认要删除该标签吗？"
"Are you sure you want to do this?","您确认要这么做吗？"
"Are you sure?","您确认吗？"
"Back","返回"
"Back to Tags List","返回标签列表"
"Base Popularity","Base Popularity"
"Block Information","方框信息"
"CSV","CSV"
"Catalog Product View","目录产品"
"Change status","修改状态"
"Click on a tag to view your corresponding products.","点击标签查看相应的产品。"
"Country","国家"
"Customer My Account My Tags List","客户 我的帐户 我的标签"
"Customer My Account Tag View","客户 我的帐户 标签"
"Customer Since","注册日期"
"Customers","客户"
"Customers Submitted this Tag","客户提交的标签"
"Customers Tagged '%s'","客户标签'%s'"
"Delete","删除"
"Delete Tag","删除标签"
"Disabled","禁用"
"Edit Tag '%s'","修改标签'%s'"
"Email","电子邮件"
"First Name","名字"
"General Information","基本信息"
"Grid","多栏"
"ID","编号"
"Last Name","姓氏"
"List","列表"
"Manage Tags","管理标签"
"My Recent Tags","我最近的标签"
"My Tags","我的标签"
"Name","名称"
"New Tag","新标签"
"No matches found.","没有匹配的。"
"Other people marked this product with these tags:","其它客户对该产品的标签："
"Pending","待审"
"Pending Tags","待审标签"
"Popular","热门"
"Popular Tags","热门标签"
"Price","价格"
"Product Name","产品名称"
"Product SKU","产品 SKU"
"Product Tags","产品标签"
"Products","产品"
"Products Tagged by Administrators","管理员的产品标签"
"Products Tagged by Customers","顾客的产品标签"
"Products Tagged with '%s'","标记为'%s'的产品"
"Products tagged with '%s'","标记为'%s'的产品"
"Rebuild Tag aggregation data","重建标签聚合数据"
"SKU","SKU"
"Save Tag","保存标签"
"Save and Continue Edit","保存并继续编辑"
"Status","状态"
"Store View","商店界面"
"Tag","标签"
"Tag ""%s"" has already been added to the product.","已为指定产品添加标签 ""%s""。"
"Tag ""%s"" has been added to the product.","标签""%s"" 已经添加到产品。"
"Tag ""%s"" has been rejected by administrator.","标签 ""%s"" 被管理员拒绝。"
"Tag Aggregation Data","标签聚合数据"
"Tag Name","标签名"
"Tagged Products List","标签产品列表"
"Tags","标签"
"Tags List (All Available)","所有允许的标签列表"
"Tags List Before","之前的标签列表"
"Tags:","标签:"
"Telephone","电话"
"The tag has been deleted.","该标签已经被删除。"
"There are no tags available.","没有标签。"
"Unable to find any products tagged with '%s' in the current store","当前商店中没有标签为 '%s' 的产品"
"Unable to remove tag. Please, try again later.","无法删除标签。请稍后再试。"
"Unable to save tag(s).","无法保存标签。"
"Use spaces to separate tags. Use single quotes (') for phrases.","使用空格隔开标签。 使用单引号 (') 括起词汇"
"View All Tags","查看所有标签"
"View Customers","查看顾客"
"View Products","查看产品"
"XML","XML"
"You have not tagged any products yet.","你还没有产品标签。"
"ZIP/Post Code","邮编"
